Train ID	Date	On Time Arrival	Passenger Satisfaction
TRN100	12/31/2022	1	5
TRN100	12/31/2022	1	5
TRN200	12/30/2022	1	5
TRN200	12/30/2022	1	5
TRN300	12/29/2022	1	5
TRN300	12/29/2022	1	5
TRN400	12/29/2022	1	5
TRN400	12/28/2022	1	5
TRN500	12/28/2022	1	5
TRN500	12/27/2022	1	5
TRN100	12/26/2022	1	5
TRN100	12/26/2022	1	5
TRN200	12/25/2022	1	5
TRN200	12/25/2022	1	5
TRN300	12/24/2022	1	5
TRN300	12/24/2022	1	5
TRN400	12/21/2022	1	5
TRN400	12/19/2022	1	5
TRN500	12/19/2022	1	5
TRN500	12/19/2022	1	5
TRN100	12/19/2022	1	5
TRN100	12/18/2022	1	5
TRN200	12/17/2022	1	5
TRN200	12/17/2022	1	5
TRN300	12/17/2022	1	5
TRN300	12/14/2022	1	5
TRN400	12/14/2022	1	5
TRN400	12/14/2022	1	5
TRN500	12/13/2022	1	5
TRN500	12/12/2022	1	5
TRN100	12/11/2022	1	5
TRN100	12/11/2022	1	5
TRN200	12/11/2022	1	5
TRN200	12/09/2022	1	5
TRN300	12/09/2022	1	5
TRN300	12/08/2022	1	5
TRN400	12/08/2022	1	5
TRN400	12/07/2022	1	5
TRN500	12/06/2022	1	5
TRN500	12/05/2022	1	5
TRN100	12/05/2022	1	5
TRN100	12/05/2022	1	5
TRN200	12/04/2022	1	5
TRN200	12/04/2022	1	5
TRN300	12/04/2022	1	5
TRN300	12/03/2022	1	5
TRN400	12/02/2022	1	5
TRN400	12/01/2022	1	5
TRN500	12/01/2022	1	5
TRN500	12/01/2022	1	5
TRN100	11/30/2022	1	5
TRN100	11/30/2022	1	5
TRN200	11/30/2022	1	5
TRN200	11/30/2022	1	5
TRN300	11/29/2022	1	5
TRN300	11/29/2022	1	5
TRN400	11/29/2022	1	5
TRN400	11/28/2022	1	4
TRN500	11/27/2022	1	5
TRN500	11/25/2022	1	5
TRN100	11/25/2022	1	4
TRN100	11/25/2022	1	4
TRN200	11/22/2022	1	5
TRN200	11/22/2022	1	4
TRN300	11/22/2022	1	5
TRN300	11/21/2022	1	5
TRN400	11/21/2022	1	4
TRN400	11/20/2022	1	4
TRN500	11/20/2022	1	5
TRN500	11/19/2022	1	5
TRN100	11/19/2022	1	4
TRN100	11/18/2022	1	4
TRN200	11/18/2022	1	4
TRN200	11/15/2022	1	4
TRN300	11/15/2022	1	5
TRN300	11/15/2022	1	4
TRN400	11/14/2022	1	4
TRN400	11/12/2022	1	4
TRN500	11/12/2022	1	5
TRN500	11/11/2022	1	5
TRN100	11/10/2022	1	4
TRN100	11/10/2022	1	4
TRN200	11/10/2022	1	4
TRN200	11/09/2022	1	4
TRN300	11/09/2022	1	4
TRN300	11/08/2022	1	4
TRN400	11/08/2022	1	4
TRN400	11/04/2022	1	4
TRN500	11/03/2022	1	5
TRN500	11/03/2022	1	4
TRN100	11/03/2022	1	4
TRN100	11/02/2022	1	4
TRN200	11/02/2022	1	4
TRN200	11/01/2022	1	4
TRN300	10/31/2022	1	4
TRN300	10/30/2022	1	4
TRN400	10/30/2022	1	4
TRN400	10/30/2022	1	4
TRN500	10/29/2022	1	4
TRN500	10/28/2022	1	4
TRN100	10/27/2022	1	4
TRN100	10/25/2022	1	4
TRN200	10/25/2022	1	4
TRN200	10/25/2022	1	4
TRN300	10/22/2022	1	4
TRN300	10/22/2022	1	4
TRN400	10/21/2022	1	4
TRN400	10/20/2022	1	4
TRN500	10/19/2022	1	4
TRN500	10/19/2022	1	4
TRN100	10/17/2022	1	4
TRN100	10/15/2022	1	4
TRN200	10/15/2022	1	4
TRN200	10/14/2022	1	4
TRN300	10/14/2022	1	4
TRN300	10/13/2022	1	4
TRN400	10/13/2022	1	4
TRN400	10/13/2022	1	4
TRN500	10/13/2022	1	4
TRN500	10/10/2022	1	4
TRN100	10/09/2022	1	4
TRN100	10/07/2022	1	4
TRN200	10/04/2022	1	4
TRN200	10/03/2022	1	4
TRN300	10/02/2022	1	4
TRN300	10/02/2022	1	4
TRN400	10/01/2022	1	4
TRN400	10/01/2022	1	4
TRN500	09/30/2022	1	4
TRN500	09/28/2022	1	4
TRN100	09/26/2022	1	4
TRN100	09/25/2022	1	4
TRN200	09/25/2022	1	4
TRN200	09/25/2022	1	4
TRN300	09/24/2022	1	4
TRN300	09/24/2022	1	4
TRN400	09/23/2022	1	4
TRN400	09/22/2022	1	4
TRN500	09/22/2022	1	4
TRN500	09/21/2022	1	4
TRN100	09/21/2022	1	4
TRN100	09/20/2022	1	4
TRN200	09/19/2022	1	4
TRN200	09/18/2022	1	4
TRN300	09/16/2022	1	4
TRN300	09/14/2022	1	4
TRN400	09/13/2022	1	4
TRN400	09/13/2022	1	4
TRN500	09/12/2022	1	4
TRN500	09/12/2022	1	4
TRN100	09/12/2022	1	4
TRN100	09/11/2022	1	4
TRN200	09/10/2022	1	4
TRN200	09/10/2022	1	4
TRN300	09/10/2022	1	4
TRN300	09/10/2022	1	4
TRN400	09/10/2022	1	4
TRN400	09/09/2022	1	4
TRN500	09/07/2022	1	4
TRN500	09/07/2022	1	4
TRN100	09/06/2022	1	4
TRN100	09/05/2022	0	3
TRN200	09/05/2022	1	4
TRN200	09/05/2022	1	4
TRN300	09/04/2022	1	4
TRN300	09/03/2022	1	4
TRN400	09/03/2022	1	4
TRN400	09/02/2022	1	4
TRN500	09/02/2022	1	4
TRN500	09/02/2022	0	3
TRN100	09/01/2022	1	3
TRN100	09/01/2022	1	3
TRN200	08/31/2022	1	4
TRN200	08/31/2022	1	4
TRN300	08/29/2022	1	4
TRN300	08/29/2022	1	4
TRN400	08/26/2022	1	4
TRN400	08/26/2022	1	4
TRN500	08/26/2022	0	3
TRN500	08/25/2022	1	3
TRN100	08/24/2022	1	3
TRN100	08/23/2022	0	3
TRN200	08/22/2022	1	4
TRN200	08/21/2022	1	4
TRN300	08/21/2022	1	4
TRN300	08/21/2022	1	4
TRN400	08/20/2022	1	4
TRN400	08/19/2022	1	4
TRN500	08/19/2022	0	3
TRN500	08/17/2022	0	3
TRN100	08/16/2022	0	3
TRN100	08/16/2022	1	3
TRN200	08/14/2022	1	3
TRN200	08/13/2022	1	3
TRN300	08/13/2022	1	4
TRN300	08/12/2022	1	4
TRN400	08/11/2022	1	4
TRN400	08/11/2022	1	4
TRN500	08/10/2022	0	3
TRN500	08/09/2022	1	3
TRN100	08/08/2022	1	3
TRN100	08/08/2022	1	3
TRN200	08/07/2022	1	3
TRN200	08/06/2022	0	3
TRN300	08/04/2022	1	4
TRN300	08/04/2022	1	4
TRN400	08/03/2022	1	4
TRN400	08/02/2022	1	3
TRN500	08/02/2022	0	3
TRN500	08/01/2022	1	3
TRN100	08/01/2022	1	3
TRN100	07/31/2022	0	3
TRN200	07/31/2022	0	3
TRN200	07/30/2022	1	3
TRN300	07/29/2022	1	4
TRN300	07/28/2022	1	4
TRN400	07/27/2022	1	3
TRN400	07/26/2022	1	3
TRN500	07/25/2022	1	3
TRN500	07/25/2022	0	3
TRN100	07/25/2022	1	3
TRN100	07/25/2022	1	3
TRN200	07/24/2022	0	3
TRN200	07/24/2022	0	3
TRN300	07/23/2022	1	4
TRN300	07/23/2022	1	4
TRN400	07/22/2022	1	3
TRN400	07/17/2022	1	3
TRN500	07/15/2022	1	3
TRN500	07/14/2022	0	3
TRN100	07/14/2022	1	3
TRN100	07/13/2022	0	3
TRN200	07/13/2022	1	3
TRN200	07/12/2022	1	3
TRN300	07/11/2022	1	4
TRN300	07/09/2022	1	3
TRN400	07/07/2022	1	3
TRN400	07/06/2022	1	3
TRN500	07/06/2022	1	3
TRN500	07/05/2022	1	3
TRN100	07/05/2022	0	3
TRN100	07/05/2022	1	3
TRN200	07/02/2022	0	3
TRN200	07/02/2022	1	3
TRN300	07/01/2022	1	3
TRN300	07/01/2022	1	3
TRN400	06/30/2022	1	3
TRN400	06/30/2022	1	3
TRN500	06/28/2022	0	3
TRN500	06/27/2022	1	3
TRN100	06/26/2022	1	3
TRN100	06/24/2022	1	3
TRN200	06/24/2022	1	3
TRN200	06/24/2022	1	3
TRN300	06/23/2022	1	3
TRN300	06/23/2022	1	3
TRN400	06/23/2022	1	3
TRN400	06/23/2022	1	3
TRN500	06/22/2022	1	3
TRN500	06/20/2022	1	3
TRN100	06/20/2022	1	3
TRN100	06/19/2022	1	3
TRN200	06/19/2022	1	3
TRN200	06/19/2022	1	3
TRN300	06/18/2022	1	3
TRN300	06/18/2022	1	3
TRN400	06/18/2022	1	3
TRN400	06/17/2022	1	3
TRN500	06/17/2022	1	3
TRN500	06/17/2022	1	3
TRN100	06/16/2022	0	3
TRN100	06/16/2022	0	3
TRN200	06/15/2022	1	3
TRN200	06/14/2022	1	3
TRN300	06/14/2022	1	3
TRN300	06/14/2022	1	3
TRN400	06/13/2022	1	3
TRN400	06/13/2022	1	3
TRN500	06/13/2022	0	3
TRN500	06/12/2022	1	2
TRN100	06/11/2022	1	3
TRN100	06/10/2022	1	3
TRN200	06/08/2022	0	3
TRN200	06/06/2022	0	3
TRN300	06/06/2022	1	3
TRN300	06/05/2022	1	3
TRN400	06/05/2022	1	3
TRN400	06/02/2022	1	3
TRN500	05/31/2022	0	2
TRN500	05/29/2022	1	2
TRN100	05/29/2022	0	3
TRN100	05/28/2022	1	3
TRN200	05/28/2022	0	3
TRN200	05/27/2022	1	3
TRN300	05/27/2022	1	3
TRN300	05/27/2022	1	3
TRN400	05/25/2022	1	3
TRN400	05/24/2022	1	3
TRN500	05/24/2022	1	2
TRN500	05/23/2022	1	2
TRN100	05/22/2022	0	2
TRN100	05/22/2022	1	2
TRN200	05/22/2022	1	3
TRN200	05/21/2022	0	3
TRN300	05/21/2022	1	3
TRN300	05/21/2022	1	3
TRN400	05/21/2022	1	3
TRN400	05/19/2022	1	3
TRN500	05/18/2022	0	2
TRN500	05/17/2022	0	2
TRN100	05/17/2022	0	2
TRN100	05/16/2022	0	2
TRN200	05/16/2022	0	2
TRN200	05/16/2022	0	2
TRN300	05/15/2022	1	3
TRN300	05/15/2022	1	3
TRN400	05/14/2022	1	2
TRN400	05/14/2022	1	2
TRN500	05/13/2022	0	2
TRN500	05/13/2022	1	2
TRN100	05/12/2022	1	2
TRN100	05/12/2022	1	2
TRN200	05/11/2022	0	2
TRN200	05/11/2022	0	2
TRN300	05/11/2022	1	3
TRN300	05/10/2022	1	3
TRN400	05/10/2022	1	2
TRN400	05/09/2022	1	2
TRN500	05/09/2022	1	2
TRN500	05/08/2022	0	2
TRN100	05/08/2022	0	2
TRN100	05/08/2022	1	2
TRN200	05/07/2022	0	2
TRN200	05/07/2022	0	2
TRN300	05/04/2022	0	2
TRN300	05/03/2022	1	2
TRN400	04/30/2022	1	2
TRN400	04/29/2022	0	2
TRN500	04/28/2022	0	2
TRN500	04/28/2022	1	2
TRN100	04/19/2022	1	2
TRN100	04/19/2022	0	2
TRN200	04/19/2022	0	2
TRN200	04/19/2022	0	2
TRN300	04/18/2022	0	2
TRN300	04/18/2022	0	2
TRN400	04/17/2022	1	2
TRN400	04/16/2022	1	2
TRN500	04/16/2022	1	2
TRN500	04/15/2022	0	2
TRN100	04/14/2022	0	2
TRN100	04/14/2022	0	2
TRN200	04/13/2022	0	2
TRN200	04/11/2022	0	2
TRN300	04/11/2022	0	2
TRN300	04/10/2022	0	2
TRN400	04/10/2022	0	2
TRN400	04/09/2022	1	2
TRN500	04/09/2022	1	2
TRN500	04/08/2022	0	2
TRN100	04/08/2022	1	2
TRN100	04/08/2022	1	2
TRN200	04/07/2022	0	2
TRN200	04/07/2022	0	2
TRN300	04/07/2022	0	2
TRN300	04/07/2022	1	2
TRN400	04/05/2022	0	2
TRN400	04/05/2022	1	2
TRN500	04/05/2022	0	2
TRN500	04/05/2022	1	2
TRN100	04/04/2022	0	2
TRN100	04/03/2022	0	2
TRN200	04/02/2022	0	2
TRN200	03/31/2022	0	2
TRN300	03/30/2022	0	2
TRN300	03/29/2022	1	2
TRN400	03/29/2022	0	2
TRN400	03/29/2022	0	2
TRN500	03/29/2022	1	2
TRN500	03/28/2022	0	2
TRN100	03/27/2022	0	2
TRN100	03/26/2022	0	2
TRN200	03/26/2022	0	2
TRN200	03/25/2022	0	2
TRN300	03/25/2022	0	2
TRN300	03/24/2022	1	2
TRN400	03/23/2022	0	2
TRN400	03/23/2022	0	2
TRN500	03/23/2022	0	2
TRN500	03/22/2022	0	2
TRN100	03/22/2022	0	2
TRN100	03/20/2022	1	2
TRN200	03/17/2022	0	2
TRN200	03/17/2022	0	2
TRN300	03/16/2022	0	2
TRN300	03/14/2022	1	2
TRN400	03/13/2022	0	2
TRN400	03/12/2022	1	2
TRN500	03/11/2022	1	2
TRN500	03/11/2022	0	2
TRN100	03/10/2022	0	2
TRN100	03/10/2022	1	2
TRN200	03/10/2022	0	2
TRN200	03/08/2022	0	2
TRN300	03/07/2022	0	2
TRN300	03/07/2022	1	2
TRN400	03/07/2022	1	2
TRN400	03/06/2022	1	2
TRN500	03/06/2022	0	2
TRN500	03/03/2022	1	2
TRN100	03/03/2022	1	2
TRN100	03/03/2022	1	2
TRN200	03/03/2022	0	2
TRN200	03/02/2022	0	2
TRN300	03/01/2022	0	2
TRN300	03/01/2022	0	2
TRN400	02/28/2022	1	2
TRN400	02/28/2022	0	2
TRN500	02/27/2022	1	2
TRN500	02/25/2022	0	2
TRN100	02/24/2022	1	2
TRN100	02/24/2022	1	2
TRN200	02/24/2022	0	2
TRN200	02/24/2022	0	2
TRN300	02/22/2022	0	2
TRN300	02/22/2022	1	2
TRN400	02/18/2022	1	2
TRN400	02/17/2022	0	2
TRN500	02/17/2022	1	2
TRN500	02/13/2022	0	1
TRN100	02/13/2022	1	2
TRN100	02/12/2022	0	1
TRN200	02/10/2022	0	2
TRN200	02/10/2022	0	1
TRN300	02/09/2022	1	1
TRN300	02/09/2022	0	1
TRN400	02/07/2022	1	2
TRN400	02/06/2022	0	1
TRN500	02/06/2022	0	1
TRN500	02/04/2022	0	1
TRN100	02/04/2022	0	1
TRN100	02/04/2022	0	1
TRN200	02/03/2022	0	1
TRN200	02/02/2022	0	1
TRN300	02/02/2022	0	1
TRN300	01/31/2022	1	1
TRN400	01/31/2022	0	1
TRN400	01/31/2022	0	1
TRN500	01/31/2022	0	1
TRN500	01/30/2022	0	1
TRN100	01/30/2022	0	1
TRN100	01/30/2022	0	1
TRN200	01/30/2022	0	1
TRN200	01/30/2022	0	1
TRN300	01/29/2022	1	1
TRN300	01/29/2022	0	1
TRN400	01/27/2022	0	1
TRN400	01/27/2022	0	1
TRN500	01/24/2022	0	1
TRN500	01/24/2022	0	1
TRN100	01/24/2022	0	1
TRN100	01/23/2022	0	1
TRN200	01/22/2022	0	1
TRN200	01/22/2022	0	1
TRN300	01/22/2022	1	1
TRN300	01/20/2022	1	1
TRN400	01/20/2022	0	1
TRN400	01/19/2022	0	1
TRN500	01/18/2022	0	1
TRN500	01/18/2022	0	1
TRN100	01/18/2022	0	1
TRN100	01/17/2022	0	1
TRN200	01/17/2022	0	1
TRN200	01/15/2022	0	1
TRN300	01/15/2022	1	1
TRN300	01/15/2022	1	1
TRN400	01/15/2022	0	1
TRN400	01/14/2022	0	1
TRN500	01/14/2022	0	1
TRN500	01/14/2022	0	1
TRN100	01/13/2022	0	1
TRN100	01/12/2022	0	1
TRN200	01/12/2022	0	1
TRN200	01/11/2022	0	1
TRN300	01/09/2022	1	1
TRN300	01/09/2022	1	1
TRN400	01/09/2022	0	1
TRN400	01/08/2022	0	1
TRN500	01/08/2022	0	1
TRN500	01/08/2022	0	1
TRN100	01/06/2022	0	1
TRN100	01/06/2022	0	1
TRN200	01/03/2022	0	1
TRN200	01/03/2022	0	1
TRN300	01/03/2022	0	1
TRN300	01/03/2022	1	1
TRN400	01/02/2022	0	1
TRN400	01/02/2022	0	1
TRN500	01/02/2022	0	1
TRN500	01/01/2022	0	1
